504,565,611,567,610,595,504,593
443,665,598,664,599,717,444,719
465,477,626,472,627,496,466,501
346,474,452,471,452,496,346,499
464,509,556,508,556,522,464,523
369,666,438,665,439,716,370,716
556,594,606,595,606,609,556,608
520,595,559,596,559,610,519,609
482,728,544,729,544,749,482,748
359,507,406,507,406,523,359,523
525,787,563,786,564,808,526,809
425,727,474,727,474,749,424,748
409,507,457,507,457,523,409,523
393,787,427,788,426,807,393,807
432,786,471,786,471,807,432,808
560,507,606,508,605,523,559,522
479,789,505,789,505,809,479,809
