321,190,644,193,644,245,321,242
543,626,637,582,653,615,558,660
584,769,679,766,680,796,585,800
523,518,608,515,609,539,524,542
340,696,465,703,463,739,339,733
509,426,598,425,598,443,509,445
584,80,679,86,678,102,583,96
595,467,681,465,681,486,596,488
606,423,681,421,681,439,607,441
329,270,474,267,474,292,329,294
372,796,445,788,447,808,374,816
617,380,679,378,679,391,618,393
331,80,467,82,467,114,331,112
468,681,532,649,548,683,484,714
348,112,426,118,425,131,347,125
630,737,681,731,683,748,632,754
601,101,682,103,681,120,601,117
636,511,683,509,683,528,637,530
220,374,260,382,258,394,218,386
557,359,639,358,639,372,557,373
579,744,635,737,637,756,581,763
219,87,268,84,270,121,221,123
623,273,674,272,675,304,623,305
229,399,256,404,254,416,227,410
225,448,257,462,252,474,220,459
228,488,260,504,254,514,223,498
539,750,578,746,581,764,542,769
214,589,267,611,257,636,204,615
536,718,601,708,604,727,538,737
563,382,608,381,608,393,564,394
600,65,645,70,644,82,599,77
216,309,260,312,258,335,215,332
628,306,666,307,665,320,627,318
636,67,680,71,679,83,635,79
220,523,255,541,251,551,215,532
224,509,255,526,251,535,219,518
218,431,244,440,240,452,214,443
630,707,680,700,682,716,632,723
640,359,682,358,682,370,641,371
638,686,681,681,683,697,640,703
536,271,581,271,581,293,536,293
598,711,634,705,636,721,600,726
631,321,666,321,666,334,631,334
219,468,245,480,240,490,214,479
488,272,524,272,524,294,487,293
612,690,636,688,638,703,613,705
535,781,605,776,607,804,537,809
