525,472,733,451,737,489,529,511
264,494,513,476,516,524,267,542
536,550,659,535,662,561,539,576
676,667,762,654,766,678,680,691
219,393,333,390,333,409,220,412
222,338,301,336,301,356,222,358
307,334,367,332,368,351,308,353
457,529,621,510,624,535,460,554
807,645,862,637,866,658,810,666
113,762,175,754,178,773,116,781
749,527,859,504,865,536,755,558
201,749,253,741,255,760,203,767
221,366,313,363,314,383,222,386
617,506,727,494,729,519,619,531
344,386,388,384,388,404,345,406
495,559,536,555,538,576,497,580
322,360,369,358,370,378,323,380
764,653,804,648,807,669,766,674
664,531,716,528,718,555,666,558
172,754,205,750,207,768,174,772
